TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
1.00,1,0,0,None,
2.00,2,0,0,None,
3.00,3,0,0,None,
4.01,4,0,0,None,
5.01,5,0,0,None,
5.78,6,0,0,None,
6.01,7,0,0,None,
7.01,8,0,0,None,
8.01,9,0,0,None,
9.02,10,0,0,None,
10.02,11,0,0,None,
11.02,12,0,0,None,
12.02,13,0,0,None,
13.03,14,0,0,None,
14.03,15,0,0,None,
14.99,15,0,1,SpawnMore,
15.03,16,0,1,None,
16.03,17,0,1,None,
17.03,18,0,1,None,
18.04,19,0,1,None,
19.04,20,0,1,None,
20.04,21,0,1,None,
20.30,22,0,1,None,
21.04,23,0,1,None,
22.04,24,0,1,None,
23.04,25,0,1,None,
24.04,26,0,1,None,
25.05,27,0,1,None,
25.64,28,0,1,None,
26.05,29,0,1,None,
27.05,30,0,1,None,
28.05,31,0,1,None,
29.05,32,0,1,None,
30.00,32,0,2,SpawnMore,
30.05,33,0,2,None,
30.48,34,0,2,None,
31.05,35,0,2,None,
32.05,36,0,2,None,
33.05,37,0,2,None,
33.06,38,0,2,None,
34.06,39,0,2,None,
35.00,39,0,2,Final,1
